window,day,garch_1step,garch_hstep,ewma_1step,ewma_hstep,realized,omega,alpha,beta,mu,converged,gbt_hstep
1,1022,0.0004581991626044661,0.019055215064732407,0.000434690642743086,0.009128503497604806,0.03251957733976728,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.017423143943535436
1,1023,0.000688395165489338,0.021051678546262068,0.00045775123272897433,0.009612775887308462,0.03273920597967256,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.01996568641620401
1,1024,0.0011845915034755954,0.02535513236841102,0.0005986529466714569,0.012571711880100596,0.030077867432844334,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.00899848470960088
1,1025,0.0008901553458875978,0.02280152140688471,0.0005627372345683651,0.011817481925935666,0.033275927915018606,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.008842364926618712
1,1026,0.0007095643825481522,0.02123527673328895,0.0005356115330310292,0.011247842193651613,0.03324961361453107,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.014142522489094618
1,1027,0.0015271510265153518,0.028326111748713884,0.0007546870839232331,0.015848428762387897,0.0304591759666608,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.0184384542772886
1,1028,0.0011321469572509071,0.0249002868453315,0.0007117120953427406,0.014945954002197554,0.030437414241064248,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.01494238908967247
1,1029,0.0009018778770633966,0.02290318957275326,0.0006750344170790963,0.014175722758661023,0.030832057480924775,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.008551984554618546
1,1030,0.0007088313321360281,0.021228919071298365,0.0006345348957548904,0.013325232810852697,0.03153709190943386,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.010938165235225764
1,1031,0.0009875994242852081,0.023646642701668618,0.000711116693000403,0.014933450553008463,0.029717982441298637,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.010005751670070649
1,1032,0.00076076174704634,0.021679305592566388,0.0006689519496633322,0.014047990942929977,0.03143368993810517,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.011897976353754915
1,1033,0.0006155585400951842,0.02041997486377019,0.0006291422603478967,0.013211987467305831,0.031764139426136886,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.011871448798064902
1,1034,0.0005228655351810351,0.01961605908336934,0.0005915886170733401,0.012423360958540143,0.033499469458141355,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.012396627843341165
1,1035,0.0005211328531263035,0.01960103173100865,0.0005638870319643202,0.011841627671250724,0.03352451921039525,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.014189983044572859
1,1036,0.0008009900035888327,0.02202820063898846,0.0006275681658851577,0.013178931483588311,0.03211033252969131,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.012067577234235079
1,1037,0.0006859347537829658,0.021030339678255065,0.0006074572306620926,0.012756601843903944,0.03233690883542639,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.011465044817448896
1,1038,0.0007819009479032193,0.021862643452523006,0.0006357147865419604,0.013350010517381168,0.03129679578567472,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.008198528575008307
1,1039,0.0009148252126570762,0.023015480326597573,0.0006811247632834074,0.014303620028951554,0.03161895360882751,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.00807667743010035
1,1040,0.003319741988431448,0.043873047177369034,0.001209054776198328,0.02539015030016489,0.024028072275478866,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.011612427517157492
1,1041,0.0025590914963479344,0.037276012864780175,0.0011929135932518024,0.02505118545828785,0.023135187322644028,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.03648509946696699
1,1042,0.002736462384730588,0.03881433019828985,0.0013221411204525381,0.0277649635295033,0.02005829715942157,0.00012692163961532238,0.2546661245155298,0.641591030093146,0.003790851207467149,true,0.08224539911816375
2,1043,0.002794704906017041,0.03863195852946333,0.0014975008989190771,0.03144751887730062,0.015894672286791357,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.0725259213641828
2,1044,0.0022554644127265482,0.03400082601282607,0.0014699705919287225,0.030869382430503172,0.014886336628664558,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.0986711150021264
2,1045,0.0016481042312602124,0.02878466453998172,0.0013904588315095264,0.029199635461700055,0.01583754419622789,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.06821771723573299
2,1046,0.0018792112861187149,0.030769469853930777,0.0014989183952466066,0.031477286300178736,0.012641868401015692,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.04928291297926696
2,1047,0.0013498664847709071,0.026223324020045676,0.001414042966039324,0.0296949022868258,0.012674098908392457,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.03233022648901626
2,1048,0.0014161326333914674,0.02679243431396359,0.0014129863720788141,0.029672713813655098,0.011357333569690637,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.05524490466854318
2,1049,0.0010574889706677288,0.023712312644704903,0.0013292077226731939,0.02791336217613707,0.011470860799120573,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.03691682894871631
2,1050,0.0009764379651809353,0.02301622629420558,0.0012791589011613535,0.026862336924388424,0.011503812638792143,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.023944353084015574
2,1051,0.0008851108464812628,0.02223188610773335,0.001244713976502757,0.0261389935065579,0.010917257893457735,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.025110409459842085
2,1052,0.0007062783565501026,0.020696027859964026,0.001175538460815284,0.024686307677120965,0.010904474399914457,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.02577506810847007
2,1053,0.001087171149541986,0.02396723063669473,0.0012084508612177126,0.025377468085571966,0.00932878005195331,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.025595151383601952
2,1054,0.0008812336645692636,0.022198587897660122,0.0011560982064909174,0.024278062336309265,0.009282302158978819,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.0225012707708873
2,1055,0.0010498846634833603,0.023647004948591184,0.0011910470083680478,0.025011987175729004,0.008672449621315536,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.014236693172441521
2,1056,0.0008233781382194793,0.021701710135920316,0.0011288809049165795,0.023706499003248168,0.008888300262597801,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.01421042524853082
2,1057,0.0006864499584411529,0.02052573660703003,0.0010738112056180443,0.02255003531797893,0.012178905445089103,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.016067033147444395
2,1058,0.0006581970460048817,0.020283093513454274,0.0010405202663551112,0.021850925593457336,0.012618245343951558,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.00931138451037211
2,1059,0.0005522351714351667,0.019373066375378632,0.000980387257108297,0.020588132399274237,0.014050575327478788,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.01255223261753418
2,1060,0.0009847533466225545,0.023087640874270843,0.0010244463550049307,0.021513373455103544,0.01234972991640198,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.017756350395962992
2,1061,0.0011508158851358846,0.024513827578484304,0.0010763241924156407,0.022602808040728457,0.011635792705509468,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.008796500574958822
2,1062,0.0008726284585009533,0.022124684231056495,0.001014573747325986,0.021306048693845704,0.01492989742258694,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.008644062364590217
2,1063,0.0007293449739649039,0.02089412975195412,0.0009698882554889231,0.020367653365267385,0.015344912698915657,0.00012393592213063334,0.24634339846818865,0.6485146560935926,0.003763839461781376,true,0.00870423077594618
3,1064,0.000641313366691443,0.020759290601650243,0.0009165657134954661,0.019247879983404787,0.01604741639999319,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.008910934592064126
3,1065,0.0005614310610264939,0.020069597975962233,0.0008633913781429205,0.01813121894100133,0.02038460322332142,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.009227150043796003
3,1066,0.0007075968091122163,0.021331572548976184,0.0008773468246046726,0.018424283316698126,0.023543514240296735,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.01046762342011884
3,1067,0.0005832613414838416,0.020258077556299887,0.0008248525610433118,0.017321903781909547,0.025991163385070837,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.010357572700096594
3,1068,0.0005563224463003606,0.02002549091276762,0.0007823549123308329,0.01642945315894749,0.02588292085081031,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.010565494341392284
3,1069,0.0005260753645724363,0.01976434185049806,0.0007401936812707235,0.015544067306685195,0.02594587384824831,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.010259974067920464
3,1070,0.0005243217806318725,0.01974920165264993,0.0007035942270793848,0.014775478768667081,0.02608071767709092,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.010392118350276163
3,1071,0.0006466821031602932,0.02080564351949614,0.0006930593256834673,0.014554245839352813,0.025600383203945257,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.010858582564880172
3,1072,0.0005559057249889238,0.02002189299939904,0.0006585870908334795,0.013830328907503069,0.025482095547791093,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.01019767416474266
3,1073,0.0005255682568305641,0.01975996355336345,0.0006238121786735667,0.0131000557521449,0.02540382311671689,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.010379054360068304
3,1074,0.0005301042738099842,0.019799126887904937,0.0005952864951268295,0.01250101639766342,0.02596178943753034,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.011397758890115219
3,1075,0.0005129663109552508,0.019651160119772318,0.000576935028787018,0.012115635604527377,0.025688235582320376,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.010978871278021808
3,1076,0.0008127398128038716,0.022239362499268528,0.0006100424690665851,0.012810891850398288,0.02475458556653408,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.010171653447603375
3,1077,0.0007105419119236775,0.021357000153675997,0.0005956876764501406,0.012509441205452953,0.024831190025420953,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.010438275558750631
3,1078,0.001592714666331004,0.028973556013362215,0.0007700458818090701,0.016170963517990473,0.021333533394315967,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.009328107282206607
3,1079,0.0013376539790408092,0.026771397804949977,0.000781341255906423,0.01640816637403488,0.020485910260593453,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.008949126063129934
3,1080,0.001437504664606464,0.027633494622652896,0.0008226987862981641,0.017276674512261447,0.019016013745334813,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.00958845662218267
3,1081,0.0010498614996804446,0.024286637893589463,0.0007741684677787975,0.016257537823354748,0.019133769595667056,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.00938328253859044
3,1082,0.001038562456353584,0.024189083537903354,0.0007982267457695247,0.016762761661160017,0.018080168076224073,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.009171104090538902
3,1083,0.0015378625965441664,0.028499970934403915,0.0009508084305032853,0.01996697704056899,0.014883853217710696,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.009102967189553524
3,1084,0.0012420297455221253,0.02594579158157024,0.0009348497742553074,0.019631845259361454,0.014211772356188618,0.00012849462002787368,0.25466619380486927,0.6409484977430654,0.0037637429736063076,true,0.009214460815609187
4,1085,0.0010646460158699337,0.02377391071956048,0.0009257797632005194,0.019441375027210907,0.013790974617355912,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.00885783142669225
4,1086,0.0020090972096464257,0.03168378008130748,0.0011322837942653646,0.023777959679572656,0.010441595885655889,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.010826734264036228
4,1087,0.0025907407972142237,0.036555100932057466,0.001319640356778289,0.02771244749234407,0.006196970074457321,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.012864252277323934
4,1088,0.0023153077220327773,0.034248322501424164,0.0013874674299729575,0.02913681602943211,0.0037568365412219275,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.023820224569634472
4,1089,0.0016254396738663189,0.028470611409736522,0.0013047183370690683,0.027399085078450434,0.004252686113808649,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.019673175481704847
4,1090,0.001239324431709192,0.025236859211457283,0.0012349924803709447,0.025934842087789838,0.004125126715528787,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.020864773075389444
4,1091,0.0009678652316917763,0.022963362366589878,0.0011767957279641497,0.024712710287247145,0.003938779011325679,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.014367461194709663
4,1092,0.0007816366647779088,0.021403680251282333,0.0011090486681264063,0.02329002203065453,0.003946296830895106,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.011354763371243899
4,1093,0.0006360662827520853,0.020184514335297096,0.0010425198133605924,0.02189291608057244,0.003973146046570592,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.013492431338285557
4,1094,0.0005413695345171208,0.01939141998330025,0.0009800125919846004,0.02058026443167661,0.003992927894277551,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.011845223259770462
4,1095,0.0007029554191788074,0.02074471727044279,0.0009635928628880082,0.020235450120648174,0.0033030492538247097,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.014685616886128289
4,1096,0.0005825971127412643,0.019736704906441926,0.0009067297831699282,0.019041325446568492,0.0037060610083134806,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.014470214174579131
4,1097,0.0005814772222997345,0.019727325716548005,0.0008640305372393425,0.018144641282026194,0.003512406606620526,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.013421122814292303
4,1098,0.0005781198031867272,0.019699207009354326,0.0008390327280657451,0.017619687289380646,0.0031174406417078778,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.01187840223211063
4,1099,0.0005025996660704618,0.019066718615346062,0.0007889308324614389,0.016567547481690217,0.003124642665446287,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.01139450929822005
4,1100,0.00046424150252622707,0.018745465315450054,0.0007482357214962987,0.01571295015142227,0.003254962052668057,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.012099428795776492
4,1101,0.00043339609771902586,0.0184871320907764,0.000703385793037129,0.01477110165377971,0.003302212491442745,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.011371202467773237
4,1102,0.00042286514399845424,0.018398934342990995,0.0006690796051333589,0.014050671707800538,0.003190586168356101,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.010790692402357737
4,1103,0.00045480680064168065,0.018666448781969498,0.0006362271237162334,0.013360769598040901,0.0035515928575530755,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.010619255344792035
4,1104,0.00043893122450343227,0.018533489308654748,0.0006067498942623885,0.012741747779510159,0.007098693282974696,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.009637659703814914
4,1105,0.0004118517194274273,0.018306695855543124,0.0005711098984975397,0.011993307868448334,0.010246618871114919,0.0001279965172307554,0.2445571866932766,0.6466792378236481,0.0037457433321725626,true,0.010406483913949624
5,1106,0.0005200143176364794,0.019115236120555885,0.0005586164156582556,0.011730944728823368,0.009909261235199422,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.01184591236541122
5,1107,0.0007709998804292643,0.021204535969723486,0.000586187523673635,0.012309937997146334,0.009548283272203256,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.01142485128081091
5,1108,0.0006274540273931244,0.020009605369891936,0.0005516323137501489,0.011584278588753128,0.009639824536781413,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.01333930996514542
5,1109,0.0005344660051899992,0.019235537496817574,0.0005191318575323821,0.010901769008180023,0.009641972395480756,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.012426509310910836
5,1110,0.000560119263591744,0.019449085034425037,0.0005182338733301305,0.010882911339932742,0.009752996334174851,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.010856920626091116
5,1111,0.0004908039491873573,0.018872077838000538,0.00048804352055955164,0.010248913931750585,0.01042190978636572,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.011646259387409354
5,1112,0.00048375682424673256,0.018813414873837662,0.0004634828434892537,0.009733139713274327,0.010507229677615209,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.011270376059322884
5,1113,0.0004448222093684826,0.01848930824361015,0.00043898562589416974,0.009218698143777565,0.0111179665758578,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.011040898946275815
5,1114,0.0004350011087878254,0.018407553644925252,0.00041427150660281934,0.008699701638659206,0.012448990196417126,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.012156646671623575
5,1115,0.0004099259903385455,0.018198818765472472,0.0003906460944947113,0.008203567984388937,0.012554817590738628,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.010709363471632606
5,1116,0.000407804799661369,0.01818116116273004,0.000368195636820342,0.0077321083732271815,0.012557096667534882,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.010707331228746737
5,1117,0.0005328698010713487,0.019222250083042743,0.00037123709593564827,0.007795979014648614,0.012397281556028181,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.009664701281857426
5,1118,0.0004787650074269814,0.018771861080812566,0.00034904814713754214,0.007330011089888385,0.013938740075347301,0.00012790573268964796,0.24248674161269793,0.6478665582537113,0.0036266271849122967,true,0.01139736758583539
